inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
S.2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,
,S.4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,S.9,,,,,,,,5,6,,7,,,8,13,,
,,S.17,,,,S.19,S.20,S.21,,,,,,,,,,,,,,,,,15,16,,18,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,R.2,,,,,,,,,,,,,,,,
,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,S.9,,,,,,,,22,6,,7,,,8,13,,
,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,S.9,,,,,,,,,6,,7,,,8,13,,
,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,S.9,,,,,,,,24,6,,7,,,8,13,,
,,,,,,,,,,,,,,,,,,,,,,R.32,,,,,,,,,,,,,,,,
,,,,S.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S.30,,,,,,,S.28,S.29,,,,,,,,,,,,,,,,,,,27,,,,,,,
,,,,,,,,,,,,,S.32,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,S.62,,,,,,,,,,,,42,,,,13,,40
,,,,,,,,,,,,,,,,S.47,,,,,,,,,,,,,,,,,,,,,,
,,,,R.3,,,,,R.3,R.3,,,,,R.3,,,,,,R.3,,,,,,,,,,,,,,,,,
,,S.55,,,,S.19,S.20,S.21,,,,,,,,,,,,,,,,,54,16,,18,,,,,,,,,,
,,,S.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S.59,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,
,,,,R.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,R.12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,R.18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,R.24,,,,,,,,,,,,,,,,
,,,S.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R.13,,,,,R.13,R.13,,,,,R.13,,,,,R.13,R.13,,,,,,,,,,,,,,,,,
,,,S.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
