estado,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,atr,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,$,P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,L,
0,S.2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0
1,,,,,,,,,,,,,,,,,,,,,,,ACC,,,,,,,,,,,,,,,,,1
2,,S.4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2
3,,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,S.9,,,,,,,5,6,,7,,,8,13,,,,3
4,,,S.17,,,,S.19,S.20,S.21,,,,,,,,,,,,,,,,,15,16,18,,,,,,,,,,,,4
5,,,,,,,,,,,,,,,,,,,,,,,R.2,,,,,,,,,,,,,,,,,5
6,,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,S.9,,,,,,,22,6,,7,,,8,13,,,,6
7,,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,S.9,,,,,,,23,6,,7,,,8,13,,,,7S
8,,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,S.9,,,,,,,24,6,,7,,,8,13,,,,8
9,,,,,,,,,,,,,,,,,,,,,,,R.2,,,,,,,,,,,,,,,,,9
10,,,,,S.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
11,,,,,S.29,,,,,,,S.27,S.28,,,,,,,,,,,,,,,,,,26,,,,,,,,,11
12,,,,,,,,,,,,,,S.30,,,,,,,,,,,,,,,,,,,,,,,,,,12
13,,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,S.61,,,,,,,,,32,,33,,,34,13,,31,,13
14,,,,,,,,,,,,,,,,,S.35,,,,,,,,,,,,,,,,,,,,,,,14
15,,,,,R.3,,,,,R.3,R.3,,,,,R.3,,,,,,R.3,,,,,,,,,,,,,,,,,,15
16,,,S.17,,,,S.19,S.20,S.21,,,,,,,,,,,,,,,,,36,16,18,,,,,,,,,,,,16
17,,,,S.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
18,,,,,S.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,18
19,,,,,R.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
20,,,,,R.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
21,,,,,R.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
22,,,,,,,,,,,,,,,,,,,,,,,R.12,,,,,,,,,,,,,,,,,22
23,,,,,,,,,,,,,,,,,,,,,,,R.18,,,,,,,,,,,,,,,,,23
24,,,,,,,,,,,,,,,,,,,,,,,R.24,,,,,,,,,,,,,,,,,24
25,,,,S.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
26,,,,S.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
27,,,,R.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
28,,,,R.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
29,,,,R.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
30,,,,,S.44,,,,,,,,S.45,,,,,,,,,,,,,,,,,,,,42,43,,,,,,30
31,,,,,R.25,,,,,R.25,R.25,,,,,R.25,,,,,R.25,,,,,,,,,,,,,,,,,,,31
32,,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,,,,,,,,,32,,33,,,34,13,,46,,32
33,,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,,,,,,,,,32,,33,,,34,13,,47,,33
34,,,,,S.12,,,,,S.10,S.11,,,,,S.14,,,,,,,,,,,,,,32,,33,,,34,13,,48,,34
35,,,,,S.44,,,,,,,,S.45,,,,,,,,,,,,,,,,,,,,,50,,,49,,,35
36,,,,,R.4,,,,,R.4,R.4,,,,,R.4,,,,,,R.4,,,,,,,,,,,,,,,,,,36
37,,,,,R.5,,,,,R.5,R.5,,,,,R.5,,,,,,R.5,,,,,,,,,,,,,,,,,,37
38,,,,S.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
39,,,,R.8,,S.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
40,,,,,R.13,,,,,R.13,R.13,,,,,R.13,,,,,R.13,R.13,,,,,,,,,,,,,,,,,,40
41,,,,,R.14,,,,,R.14,R.14,,,,,R.14,,,,,R.14,R.14,,,,,,,,,,,,,,,,,,41
42,,,,S.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
43,,,,R.21,,,,,,,,,,,S.54,,,,,,,,,,,,,,,,,,,,,,,,,43
44,,,,R.22,,,,,,,,,,,R.22,,,R.22,,R.22,,,,,,,,,,,,,,,,,,,,44
45,,,,R.23,,,,,,,,,,,R.23,,,R.23,,R.23,,,,,,,,,,,,,,,,,,,,45
46,,,,,R.28,,,,,R.28,R.28,,,,,R.28,,,,,R.28,R.28,,,,,,,,,,,,,,,,,,46
47,,,,,R.29,,,,,R.29,R.29,,,,,R.29,,,,,R.29,R.29,,,,,,,,,,,,,,,,,,47
48,,,,,R.30,,,,,R.30,R.30,,,,,R.30,,,,,R.30,R.30,,,,,,,,,,,,,,,,,,48
49,,,,,,,,,,,,,,,,,,S.55,,,,,,,,,,,,,,,,,,,,,,49
50,,,,,,,,,,,,,,,,,,,,S.56,,,,,,,,,,,,,,,,,,,,50
51,,,R.6,,,,R.6,R.6,R.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
52,,,,,S.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,52
53,,,,,R.19,,,,,R.19,R.19,,,,,R.19,,,,,R.19,R.19,,,,,,,,,,,,,,,,,,53
54,,,,,S.44,,,,,,,,S.45,,,,,,,,,,,,,,,,,,,,,58,,,,,,54
55,,,,,,,,,,,,,,,,,,,S.59,,,,,,,,,,,,,,,,,,,,,55
56,,,,,S.44,,,,,,,,S.45,,,,,,,,,,,,,,,,,,,,,60,,,,,,56
57,,,,R.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
58,,,,R.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
59,,,,,R.26,,,,,R.26,R.26,,,,,R.26,,,,,R.26,,,,,,,,,,,,,,,,,,,59
